pair_id,batch_id,randomization_order,preheat_f,bake_time_min,cool_down_min,init_weight_g,post_weight_g,d1_cm,d2_cm,d_avg,thickness_cm,spread_ratio,weight_loss_pct
1,1,toaster,375,8,3,30,27.9,8.2,8.4,8.3,0.6,13.83333333,0.07
1,1,oven,375,8,3,30,27.1,7.9,8.4,8.15,0.5,16.3,0.096666667
2,1,toaster,375,8,3,30,28.5,7.9,8.1,8.0,0.4,20.0,0.05
2,1,oven,375,8,3,30,26.7,8.5,7.9,8.2,0.6,13.66666667,0.11
3,1,toaster,375,8,3,30,27.5,8.0,7.4,7.7,0.3,25.66666667,0.083333333
3,1,oven,375,8,3,30,28.2,8.0,8.1,8.05,0.6,13.41666667,0.06
4,1,toaster,375,8,3,30,29.7,7.9,7.9,7.9,0.5,15.8,0.01
4,1,oven,375,8,3,30,27.1,8.5,7.1,7.8,0.5,15.6,0.096666667
5,1,toaster,375,8,3,30,28.4,8.3,7.9,8.1,0.5,16.2,0.053333333
5,1,oven,375,8,3,30,27.5,8.4,7.9,8.15,0.8,10.1875,0.083333333
6,1,toaster,375,8,3,30,29.0,8.2,8.3,8.25,0.4,20.625,0.033333333
6,1,oven,375,8,3,30,27.3,8.0,7.9,7.95,0.4,19.875,0.09
7,1,toaster,375,8,3,30,28.3,8.4,8.5,8.45,0.5,16.9,0.056666667
7,1,oven,375,8,3,30,28.0,7.8,7.6,7.7,1.0,7.7,0.066666667
