pair_id,batch_id,randomization_order,preheat_f,bake_time_min,cool_down_min,init_weight_g,d1_cm,d2_cm,d_avg,thickness_cm,spread_ratio,post_weight_g,weight_loss_pct
1,1,t,375,8,3,30,8.2,8.4,8.30,0.6,13.83333333,27.9,0.07
1,1,r,375,8,3,30,7.9,8.4,8.15,0.5,16.3,27.1,0.096666667
2,1,t,375,8,3,30,7.9,8.1,8.00,0.4,20,28.5,0.05
2,1,r,375,8,3,30,8.5,7.9,8.20,0.6,13.66666667,26.7,0.11
3,1,t,375,8,3,30,8,7.4,7.70,0.3,25.66666667,27.5,0.083333333
3,1,r,375,8,3,30,8,8.1,8.05,0.6,13.41666667,28.2,0.06
4,1,t,375,8,3,30,7.9,7.9,7.90,0.5,15.8,29.7,0.01
4,1,r,375,8,3,30,8.5,7.1,7.80,0.5,15.6,27.1,0.096666667
5,1,t,375,8,3,30,8.3,7.9,8.10,0.5,16.2,28.4,0.053333333
5,1,r,375,8,3,30,8.4,7.9,8.15,0.8,10.1875,27.5,0.083333333
6,1,t,375,8,3,30,8.2,8.3,8.25,0.4,20.625,29,0.033333333
6,1,r,375,8,3,30,8,7.9,7.95,0.4,19.875,27.3,0.09
7,1,t,375,8,3,30,8.4,8.5,8.45,0.5,16.9,28.3,0.056666667
7,1,r,375,8,3,30,7.8,7.6,7.70,1.0,7.7,28,0.066666667
